day,month,year,hour,avg-temp,avg-humidity,avg-precip,avg-wind,avg-windir
17,6,2020,5,22.65317635135135,86.20800621621622,0.01943728813559322,4.942332714285714,191.53035728571427
17,6,2020,6,24.138870135135136,78.19952689189189,0.22683275862068966,5.164225999999999,206.21738728571427
17,6,2020,7,25.24536445945946,72.24360324324324,0.6877005172413793,5.564562428571429,209.88068757142855
17,6,2020,8,25.956941756756756,68.25219013513514,0.49590086206896555,5.792262428571429,205.184868
17,6,2020,9,26.523332702702703,65.43508081081082,0.6271375862068965,5.834080428571428,199.8998072857143
17,6,2020,10,27.048790684931507,62.46506082191781,0.37757396551724137,6.014538550724637,187.07505565217392
17,6,2020,11,27.512679054054054,59.03938945945946,0.0097,6.008214285714286,185.16416542857144
17,6,2020,12,27.540187397260276,58.05930493150686,0.0025282758620689652,6.2487914492753625,186.86551304347827
17,6,2020,13,27.023042297297298,60.792478108108114,0.5628859322033899,6.189564571428572,171.64739057142856
17,6,2020,14,26.498012432432432,64.1992418918919,0.6026627586206896,6.168457142857142,160.12919814285715
17,6,2020,15,25.481990675675675,69.65731418918918,0.5572016949152542,6.2979330000000004,131.96781785714288
17,6,2020,16,24.14376756756757,74.63632378378378,1.0571455932203389,6.245413142857142,89.593951
17,6,2020,17,22.574916486486487,81.1021704054054,1.147736779661017,5.739361285714286,86.28815185714285
17,6,2020,18,21.75204972972973,84.8634404054054,0.8657266101694915,5.256838285714285,97.89605814285714
17,6,2020,19,21.25235891891892,86.34757513513513,2.366746779661017,4.8357082857142855,119.55064528571428
17,6,2020,20,20.927806712328767,87.42344191780822,3.769027966101695,4.936054347826087,139.98176043478261
17,6,2020,21,20.657232328767122,88.57014684931507,4.203291694915254,4.76152231884058,134.98153188405794
17,6,2020,22,20.444285405405406,88.32262689189189,2.8737137288135597,4.433368142857144,143.68450542857144
17,6,2020,23,20.14685602739726,88.62598465753425,1.304648813559322,4.460236231884058,149.93799739130435
18,6,2020,0,19.806696301369865,89.33912643835616,2.504368103448276,4.517580289855072,183.8460379710145
18,6,2020,1,19.61499472972973,90.69545864864864,3.185983448275862,4.498855857142857,182.8571702857143
18,6,2020,2,19.498158767123286,91.86354164383562,4.217201694915254,4.5891442028985505,173.42278072463768
18,6,2020,3,19.700557972972973,91.42800945945946,3.28797,4.939132285714286,169.63610057142859
18,6,2020,4,20.661172972972974,87.88516472972974,0.5752525423728814,4.734755142857143,177.36443314285714
18,6,2020,5,21.727016621621623,83.68943243243243,0.013301724137931034,4.829740285714285,158.48212785714284
18,6,2020,6,22.30607081081081,80.30481567567568,0.025591206896551727,5.037808571428571,177.44297385714285
18,6,2020,7,22.467593513513513,78.25844567567567,0.47601499999999997,4.955427285714285,157.2493697142857
18,6,2020,8,22.66639243243243,77.58410986486487,0.3040684482758621,5.459282428571428,131.12387157142857
18,6,2020,9,22.218867837837838,79.15806662162163,0.4507324137931034,5.536607428571429,126.42121971428571
18,6,2020,10,21.52283216216216,82.0444908108108,0.659222372881356,3.4044702857142854,115.38633971428571
18,6,2020,11,21.461280810810813,83.87191890410959,0.06213189655172414,1.7151461428571428,122.55267214285715
18,6,2020,12,22.676861216216217,81.0452968918919,0.042288793103448276,1.6113597142857143,132.60105742857144
